Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.9308832,4,196,1.011248,0.005309805,0.006187836,0.005100784,75,1.17
3.0075089,8,192,2.001098,0.02456789,0.02168833,0.02324741,75,11.26483
4.0377859,23,177,2.979135,0.09069338,0.04975813,0.06643911,75,26.33008
5.0099191,35,165,3.896323,0.1971516,0.1643373,0.1415523,75,40.03188
6.0142661,58,142,4.732114,0.346744,0.3248592,0.3297253,75,52.51568
Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.3236919,5,195,1.010862,0,0.01022312,0.004877912,75,1.08
3.396252,11,189,2.01785,0.01459629,0.05843043,0.01120099,75,10.44326
4.9059338,24,176,2.982666,0.03597482,0.1288363,0.04100817,75,26.54069
5.9513302,48,152,3.966013,0.0782398,0.2767593,0.1809812,75,40.95433
6.9489005,69,131,4.773599,0.1615436,0.5277616,0.4241382,75,53.05679
7.9657285,101,99,5.497666,0.327785,0.8549701,0.7789959,75,63.0224
8.9783468,126,74,6.127133,0.6245318,1.251957,1.226292,75,70.37787
15.6922848,156,44,6.663251,1.023017,1.736022,1.757019,75,75.21937
16.6953707,177,23,7.102849,1.502661,2.320137,2.370275,75,78.21803
17.7049462,186,14,7.495533,2.007457,2.938561,3.07346,75,79.91841
18.7116486,190,10,7.872694,2.528287,3.590953,3.77045,75,80.63227
19.7219318,190,10,8.247313,3.069622,4.260058,4.450578,75,80.79201
20.7360814,189,11,8.625181,3.593016,4.929195,5.148064,75,80.7933
21.7452779,189,11,9.001154,4.135393,5.574246,5.84272,75,80.7933
22.7563997,189,11,9.377284,4.676161,6.226502,6.539564,75,80.7933
23.8868601,188,12,9.765168,5.203936,6.895568,7.198911,75,80.88921
24.9005213,185,15,10.15824,5.736877,7.553046,7.855604,75,81.29001
25.9133834,185,15,10.55913,6.234422,8.227242,8.503447,75,81.7501
26.9260511,187,13,10.95572,6.734251,8.883444,9.173678,75,82.11028
27.9419595,189,11,11.34861,7.257203,9.557046,9.829882,75,82.36814
28.9546045,189,11,11.72894,7.78266,10.23083,10.51192,75,82.53941
29.9642518,189,11,12.10534,8.301414,10.90821,11.19579,75,82.63459
30.9789177,189,11,12.48403,8.843271,11.57658,11.87794,75,82.68105
31.9916649,189,11,12.86171,9.382091,12.2507,12.55703,75,82.68839
32.9971615,189,11,13.23519,9.921053,12.90821,13.23847,75,82.68839
34.0123188,189,11,13.61416,10.45621,13.58293,13.92221,75,82.68839
35.0268395,187,13,13.99371,10.97943,14.24335,14.62297,75,82.68839
36.0434707,188,12,14.37805,11.52262,14.9017,15.29886,75,82.68839
37.0581753,188,12,14.75804,12.06411,15.56939,15.97784,75,82.68839
38.0736542,188,12,15.13662,12.59948,16.23434,16.66125,75,82.68839
39.1736264,185,15,15.52089,13.12759,16.87011,17.34352,75,82.88712
40.1895826,185,15,15.91365,13.64817,17.52095,18.0233,75,83.44545
41.1941353,187,13,16.299,14.17658,18.14395,18.71314,75,83.97378
42.1989762,188,12,16.68045,14.67996,18.80297,19.39751,75,84.38989
43.2123726,188,12,17.06491,15.2003,19.44242,20.10542,75,84.7028
44.2132827,188,12,17.44339,15.70553,20.07239,20.81238,75,84.93105
45.225932,189,11,17.82447,16.20768,20.73268,21.52142,75,85.10322
46.227007,188,12,18.19626,16.71669,21.37707,22.2319,75,85.23162
47.2285069,187,13,18.57536,17.21898,22.02531,22.92789,75,85.31999
48.2431104,187,13,18.95994,17.72099,22.68257,23.63392,75,85.36895
49.2459946,187,13,19.33766,18.21128,23.34233,24.33545,75,85.37749
50.2476221,187,13,19.71771,18.71452,23.98648,25.03143,75,85.37749
51.2495128,186,14,20.09584,19.21799,24.64352,25.72248,75,85.37749
52.2494002,186,14,20.47294,19.71864,25.29285,26.41982,75,85.37749
53.2533061,186,14,20.85097,20.23258,25.93561,27.12128,75,85.37749
54.3952696,183,17,21.24701,20.74355,26.57515,27.80616,75,85.7442
55.4111724,184,16,21.63662,21.27447,27.22688,28.483,75,86.68059
56.4238736,186,14,22.02398,21.81628,27.86981,29.15859,75,87.61409
