Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.3192765,4,196,1.001998,0.01190448,0.01126514,0,50,1.17
2.3245897,6,194,1.991653,0.03057363,0.03869087,0,50,10.1654
3.3225663,16,184,2.964446,0.0452488,0.1032381,0.005311486,50,25.39383
4.3254481,34,166,3.882509,0.127558,0.2275944,0.0341798,50,39.82222
5.330981,54,146,4.751208,0.2364087,0.4000598,0.1563408,50,52.14323
6.3331683,72,128,5.537144,0.3804659,0.6801432,0.3774743,50,62.15086
7.3378264,101,99,6.225828,0.6556439,1.049691,0.6697522,50,69.73497
8.3443915,116,84,6.850041,0.9676901,1.472224,1.08779,50,74.74277
9.3486995,133,67,7.42088,1.329691,1.938915,1.574104,50,77.73638
10.3554935,144,56,7.951769,1.732275,2.466338,2.070069,50,79.35211
11.3589705,147,53,8.465015,2.148377,2.991573,2.609079,50,80.07896
12.3651382,149,51,8.976892,2.569442,3.519625,3.1535,50,80.25708
13.3668767,149,51,9.487101,2.991189,4.041019,3.699885,50,80.26046
14.3760958,149,51,9.99956,3.414033,4.573411,4.23543,50,80.26046
15.3800935,148,52,10.51166,3.847392,5.104913,4.758002,50,80.26046
16.3842422,147,53,11.02464,4.260436,5.631369,5.299607,50,80.2897
17.3880392,146,54,11.541,4.681314,6.12886,5.867002,50,80.48229
18.3932119,147,53,12.05704,5.102397,6.644117,6.406993,50,80.82566
19.3978423,146,54,12.57332,5.522288,7.172635,6.930483,50,81.19286
20.3988371,146,54,13.08733,5.935844,7.692694,7.46701,50,81.53594
21.4036918,145,55,13.60356,6.359417,8.206373,8.005491,50,81.82099
22.4043996,146,54,14.11615,6.774009,8.724558,8.552685,50,82.04598
23.4105559,147,53,14.62552,7.225636,9.244638,9.075683,50,82.21094
24.410831,147,53,15.13074,7.667618,9.770492,9.59738,50,82.31599
25.4167971,147,53,15.64275,8.104174,10.2887,10.13384,50,82.36199
26.4179686,147,53,16.15214,8.526219,10.82052,10.66148,50,82.36243
27.421612,147,53,16.66328,8.959671,11.34839,11.18313,50,82.36243
28.4242504,147,53,17.17381,9.386405,11.87462,11.71661,50,82.36243
29.4267904,147,53,17.68398,9.817749,12.39062,12.25522,50,82.36243
30.4298271,147,53,18.19512,10.25854,12.91869,12.76557,50,82.36243
31.4317693,55,145,18.84327,10.55401,13.31924,13.12595,50,83.09898
32.4345049,63,137,19.65537,10.68665,13.54955,13.33688,50,86.68818
33.4384499,45,155,20.45888,10.79311,13.81524,13.56717,50,89.48942
34.4393236,137,63,21.22149,10.9376,14.11471,13.84447,50,90.9711
35.4389446,145,55,21.75147,11.3614,14.61267,14.33645,50,91.4108
36.4417849,148,52,22.26896,11.81678,15.0736,14.89732,50,91.52953
37.4455585,146,54,22.78955,12.23508,15.5669,15.45399,50,91.5731
38.4489403,144,56,23.31108,12.66174,16.08056,15.96526,50,91.57331
39.4550891,144,56,23.8381,13.07634,16.57623,16.50739,50,91.57331
40.461596,142,58,24.36526,13.50932,17.05022,17.05716,50,91.57331
41.4655557,143,57,24.89309,13.91264,17.54925,17.59792,50,91.57331
42.4666785,142,58,25.423,14.3112,18.06229,18.11104,50,91.57331
43.474373,140,60,25.95535,14.69682,18.56901,18.65644,50,91.57331
44.4807077,140,60,26.48816,15.09561,19.06204,19.20523,50,91.57331
45.4829368,140,60,27.02334,15.48693,19.55934,19.73058,50,91.57331
46.4874699,93,107,27.63939,15.77911,19.99031,20.1862,50,92.29562
47.4914145,115,85,28.29872,15.99919,20.41518,20.58315,50,95.40579
48.4925296,86,114,28.91721,16.2593,20.85065,21.0573,50,98.01991
49.4929058,136,64,29.58124,16.47391,21.26927,21.43958,50,99.51939
50.4977052,137,63,30.12193,16.81294,21.78513,21.99384,50,100.1842
51.4998177,140,60,30.64678,17.17538,22.30421,22.56373,50,100.4803
52.5054716,142,58,31.16151,17.54964,22.84374,23.14192,50,100.6167
53.50878,142,58,31.67249,17.91657,23.39637,23.7178,50,100.6902
54.5139515,142,58,32.18463,18.28474,23.95861,24.28278,50,100.7055
55.5185596,142,58,32.69573,18.64225,24.52467,24.85114,50,100.7055
56.5218335,140,60,33.20629,19.00257,25.08121,25.42697,50,100.7055
57.5243165,140,60,33.71784,19.368,25.65992,25.96606,50,100.7055
